Character,Transcription,Fanqie,Sixtuple,Reference
東,tuwng,德紅,通開一平東端,1
菄,tuwng,德紅,通開一平東端,1
鶇,tuwng,德紅,通開一平東端,1
䍶,tuwng,德紅,通開一平東端,1
䍶,drin,直珍,臻開三平眞澄,415
䍶,tuwngH,多貢,通開一去東端,2096
𠍀,tuwng,德紅,通開一平東端,1
倲,tuwng,德紅,通開一平東端,1
𩜍,tuwng,德紅,通開一平東端,1
𢘐,tuwng,德紅,通開一平東端,1
涷,tuwng,德紅,通開一平東端,1
涷,tuwngH,多貢,通開一去東端,2096
蝀,tuwng,德紅,通開一平東端,1
蝀,tuwngX,多動,通開一上東端,1157
凍,tuwng,德紅,通開一平東端,1
凍,tuwngH,多貢,通開一去東端,2096
鯟,tuwng,德紅,通開一平東端,1
𢔅,tuwng,德紅,通開一平東端,1
崠,tuwng,德紅,通開一平東端,1
埬,tuwng,德紅,通開一平東端,1
𧓕,tuwng,德紅,通開一平東端,1
䰤,tuwng,德紅,通開一平東端,1
同,duwng,徒紅,通開一平東定,2
仝,duwng,徒紅,通開一平東定,2
仝,dzjwen,疾緣,山合三平仙從,617
童,duwng,徒紅,通開一平東定,2
僮,duwng,徒紅,通開一平東定,2
銅,duwng,徒紅,通開一平東定,2
桐,duwng,徒紅,通開一平東定,2
峒,duwng,徒紅,通開一平東定,2
峒,duwngH,徒弄,通開一去東定,2101
硐,duwng,徒紅,通開一平東定,2
硐,duwngX,徒揔,通開一上東定,1169
𦨴,duwng,徒紅,通開一平東定,2
𧱁,duwng,徒紅,通開一平東定,2
筒,duwng,徒紅,通開一平東定,2
筒,duwngH,徒弄,通開一去東定,2101
瞳,duwng,徒紅,通開一平東定,2
㼧,duwng,徒紅,通開一平東定,2
𤭁,duwng,徒紅,通開一平東定,2
罿,duwng,徒紅,通開一平東定,2
罿,tsyhowng,尺容,通開三平鍾昌,49
犝,duwng,徒紅,通開一平東定,2
筩,duwng,徒紅,通開一平東定,2
潼,duwng,徒紅,通開一平東定,2
潼,tsyhowng,尺容,通開三平鍾昌,49
曈,duwng,徒紅,通開一平東定,2
曈,thuwng,他紅,通開一平東透,29
曈,thuwngX,他孔,通開一上東透,1161
洞,duwng,徒紅,通開一平東定,2
洞,duwngH,徒弄,通開一去東定,2101
侗,duwng,徒紅,通開一平東定,2
侗,thuwng,他紅,通開一平東透,29
侗,thuwngX,他孔,通開一上東透,1161
橦,duwng,徒紅,通開一平東定,2
橦,tsyowng,職容,通開三平鍾章,45
橦,draewng,宅江,江開二平江澄,82
烔,duwng,徒紅,通開一平東定,2
䴀,duwng,徒紅,通開一平東定,2
挏,duwng,徒紅,通開一平東定,2
挏,duwngX,徒揔,通開一上東定,1169
酮,duwng,徒紅,通開一平東定,2
酮,duwngX,徒揔,通開一上東定,1169
鮦,duwng,徒紅,通開一平東定,2
鮦,drjowngX,直隴,通開三上鍾澄,1176
鮦,drjuwX,除柳,流開三上尤澄,1942
㼿,duwng,徒紅,通開一平東定,2
㼿,tsyowngH,之用,通開三去鍾章,2135
𦏆,duwng,徒紅,通開一平東定,2
𦍻,duwng,徒紅,通開一平東定,2
眮,duwng,徒紅,通開一平東定,2
眮,duwngX,徒揔,通開一上東定,1169
眮,duwngH,徒弄,通開一去東定,2101
蕫,duwng,徒紅,通開一平東定,2
蕫,tuwngX,多動,通開一上東端,1157
穜,duwng,徒紅,通開一平東定,2
穜,drjowng,直容,通開三平鍾澄,56
衕,duwng,徒紅,通開一平東定,2
衕,duwngH,徒弄,通開一去東定,2101
𩍅,duwng,徒紅,通開一平東定,2
𢈉,duwng,徒紅,通開一平東定,2
䆚,duwng,徒紅,通開一平東定,2
哃,duwng,徒紅,通開一平東定,2
𢏕,duwng,徒紅,通開一平東定,2
絧,duwng,徒紅,通開一平東定,2
絧,duwngH,徒弄,通開一去東定,2101
𨝯,duwng,徒紅,通開一平東定,2
𨚯,duwng,徒紅,通開一平東定,2
𪔝,duwng,徒紅,通開一平東定,2
𩦶,duwng,徒紅,通開一平東定,2
𩦶,downg,徒冬,通開一平冬定,36
𪒿,duwng,徒紅,通開一平東定,2
中,trjuwng,陟弓,通開三平東知,3
中,trjuwngH,陟仲,通開三去東知,2112
衷,trjuwng,陟弓,通開三平東知,3
衷,trjuwngH,陟仲,通開三去東知,2112
忠,trjuwng,陟弓,通開三平東知,3
𦬕,trjuwng,陟弓,通開三平東知,3
𦬕,drjuwng,直弓,通開三平東澄,4
蟲,drjuwng,直弓,通開三平東澄,4
蟲,drjuwngH,直衆,通開三去東澄,2103
沖,drjuwng,直弓,通開三平東澄,4
种,drjuwng,直弓,通開三平東澄,4
盅,drjuwng,直弓,通開三平東澄,4
盅,trhjuwng,敕中,通開三平東徹,6
爞,drjuwng,直弓,通開三平東澄,4
爞,downg,徒冬,通開一平冬定,36
翀,drjuwng,直弓,通開三平東澄,4
終,tsyuwng,職戎,通開三平東章,5
衆,tsyuwng,職戎,通開三平東章,5
衆,tsyuwngH,之仲,通開三去東章,2115
眾,tsyuwng,職戎,通開三平東章,5
潨,tsyuwng,職戎,通開三平東章,5
潨,dzuwng,徂紅,通開一平東從,26
潨,dzowng,藏宗,通開一平冬從,37
𣧩,tsyuwng,職戎,通開三平東章,5
𧑄,tsyuwng,職戎,通開三平東章,5
𩅧,tsyuwng,職戎,通開三平東章,5
䝦,tsyuwng,職戎,通開三平東章,5
䶱,tsyuwng,職戎,通開三平東章,5
䶱,downg,徒冬,通開一平冬定,36
䈺,tsyuwng,職戎,通開三平東章,5
螽,tsyuwng,職戎,通開三平東章,5
鼨,tsyuwng,職戎,通開三平東章,5
蔠,tsyuwng,職戎,通開三平東章,5
柊,tsyuwng,職戎,通開三平東章,5
鴤,tsyuwng,職戎,通開三平東章,5
泈,tsyuwng,職戎,通開三平東章,5
忡,trhjuwng,敕中,通開三平東徹,6
浺,trhjuwng,敕中,通開三平東徹,6
崇,dzrjuwng,鋤弓,通開三平東崇,7
崈,dzrjuwng,鋤弓,通開三平東崇,7
㓽,dzrjuwng,鋤弓,通開三平東崇,7
㓽,dzrjuwngH,仕仲,通開三去東崇,2117
𩞉,dzrjuwng,鋤弓,通開三平東崇,7
嵩,sjuwng,息弓,通開三平東心,8
崧,sjuwng,息弓,通開三平東心,8
娀,sjuwng,息弓,通開三平東心,8
菘,sjuwng,息弓,通開三平東心,8
硹,sjuwng,息弓,通開三平東心,8
𪀚,sjuwng,息弓,通開三平東心,8
㣝,sjuwng,息弓,通開三平東心,8
𧊕,sjuwng,息弓,通開三平東心,8
𨱿,sjuwng,息弓,通開三平東心,8
戎,nyuwng,如融,通開三平東日,9
𢦦,nyuwng,如融,通開三平東日,9
㭜,nyuwng,如融,通開三平東日,9
𥬪,nyuwng,如融,通開三平東日,9
𠈋,nyuwng,如融,通開三平東日,9
茙,nyuwng,如融,通開三平東日,9
駥,nyuwng,如融,通開三平東日,9
狨,nyuwng,如融,通開三平東日,9
絨,nyuwng,如融,通開三平東日,9
弓,kjuwng,居戎,通開三平東見,10
躳,kjuwng,居戎,通開三平東見,10
躬,kjuwng,居戎,通開三平東見,10
㴦,kjuwng,居戎,通開三平東見,10
宮,kjuwng,居戎,通開三平東見,10
匑,kjuwng,居戎,通開三平東見,10
匑,khjuwng,去宮,通開三平東溪,14
融,yuwng,以戎,通開三平東以,11
肜,yuwng,以戎,通開三平東以,11
瀜,yuwng,以戎,通開三平東以,11
雄,hjuwng,羽弓,通開三平東云,12
熊,hjuwng,羽弓,通開三平東云,12
瞢,mjuwng,莫中,通開三平東明,13
瞢,mong,武登,曾開一平登明,974
瞢,mjuwngH,莫鳳,通開三去東明,2106
夢,mjuwng,莫中,通開三平東明,13
夢,mjuwngH,莫鳳,通開三去東明,2106
懜,mjuwng,莫中,通開三平東明,13
懜,muwng,莫紅,通開一平東明,23
懜,mongH,武亘,曾開一去登明,3024
𨞯,mjuwng,莫中,通開三平東明,13
𦫰,mjuwng,莫中,通開三平東明,13
𧲎,mjuwng,莫中,通開三平東明,13
穹,khjuwng,去宮,通開三平東溪,14
𢞏,khjuwng,去宮,通開三平東溪,14
𦵡,khjuwng,去宮,通開三平東溪,14
𥳎,khjuwng,去宮,通開三平東溪,14
𥳎,gjowng,渠容,通開三平鍾群,63
𥳎,khjowng,曲恭,通開三平鍾溪,68
焪,khjuwng,去宮,通開三平東溪,14
焪,khjuwngH,去仲,通開三去東溪,2105
芎,khjuwng,去宮,通開三平東溪,14
窮,gjuwng,渠弓,通開三平東群,15
藭,gjuwng,渠弓,通開三平東群,15
𥨪,gjuwng,渠弓,通開三平東群,15
馮,bjuwng,房戎,通開三平東並,16
馮,bing,扶冰,曾開三平蒸並,951
堸,bjuwng,房戎,通開三平東並,16
汎,bjuwng,房戎,通開三平東並,16
汎,phjomH,孚梵,咸合三去凡滂,3177
芃,bjuwng,房戎,通開三平東並,16
芃,buwng,薄紅,通開一平東並,31
𨝭,bjuwng,房戎,通開三平東並,16
渢,bjuwng,房戎,通開三平東並,16
梵,bjuwng,房戎,通開三平東並,16
梵,bjomH,扶泛,咸合三去凡並,3176
風,pjuwng,方戎,通開三平東幫,17
風,pjuwngH,方鳳,通開三去東幫,2104
飌,pjuwng,方戎,通開三平東幫,17
楓,pjuwng,方戎,通開三平東幫,17
猦,pjuwng,方戎,通開三平東幫,17
偑,pjuwng,方戎,通開三平東幫,17
檒,pjuwng,方戎,通開三平東幫,17
𧆉,pjuwng,方戎,通開三平東幫,17
瘋,pjuwng,方戎,通開三平東幫,17
豐,phjuwng,敷空,通開三平東滂,18
酆,phjuwng,敷空,通開三平東滂,18
蘴,phjuwng,敷空,通開三平東滂,18
蘴,phjowng,敷容,通開三平鍾滂,60
灃,phjuwng,敷空,通開三平東滂,18
寷,phjuwng,敷空,通開三平東滂,18
麷,phjuwng,敷空,通開三平東滂,18
麷,phjuwngH,撫鳳,通開三去東滂,2110
㒥,phjuwng,敷空,通開三平東滂,18
𡾿,phjuwng,敷空,通開三平東滂,18
充,tsyhuwng,昌終,通開三平東昌,19
珫,tsyhuwng,昌終,通開三平東昌,19
茺,tsyhuwng,昌終,通開三平東昌,19
㤝,tsyhuwng,昌終,通開三平東昌,19
䘪,tsyhuwng,昌終,通開三平東昌,19
𪎽,tsyhuwng,昌終,通開三平東昌,19
𪎽,thowngH,他綜,通開一去冬透,2121
㳘,tsyhuwng,昌終,通開三平東昌,19
隆,ljuwng,力中,通開三平東來,20
癃,ljuwng,力中,通開三平東來,20
𪔳,ljuwng,力中,通開三平東來,20
㚅,ljuwng,力中,通開三平東來,20
窿,ljuwng,力中,通開三平東來,20
霳,ljuwng,力中,通開三平東來,20
空,khuwng,苦紅,通開一平東溪,21
空,khuwngH,苦貢,通開一去東溪,2097
箜,khuwng,苦紅,通開一平東溪,21
崆,khuwng,苦紅,通開一平東溪,21
崆,khaewng,苦江,江開二平江溪,81
椌,khuwng,苦紅,通開一平東溪,21
椌,khaewng,苦江,江開二平江溪,81
硿,khuwng,苦紅,通開一平東溪,21
悾,khuwng,苦紅,通開一平東溪,21
悾,khaewng,苦江,江開二平江溪,81
悾,khuwngH,苦貢,通開一去東溪,2097
埪,khuwng,苦紅,通開一平東溪,21
倥,khuwng,苦紅,通開一平東溪,21
倥,khuwngX,康董,通開一上東溪,1159
倥,khuwngH,苦貢,通開一去東溪,2097
涳,khuwng,苦紅,通開一平東溪,21
涳,nraewng,女江,江開二平江娘,71
涳,khaewng,苦江,江開二平江溪,81
鵼,khuwng,苦紅,通開一平東溪,21
䅝,khuwng,苦紅,通開一平東溪,21
𦱇,khuwng,苦紅,通開一平東溪,21
𢃐,khuwng,苦紅,通開一平東溪,21
𧌆,khuwng,苦紅,通開一平東溪,21
公,kuwng,古紅,通開一平東見,22
功,kuwng,古紅,通開一平東見,22
工,kuwng,古紅,通開一平東見,22
疘,kuwng,古紅,通開一平東見,22
蚣,kuwng,古紅,通開一平東見,22
蚣,tsyowng,職容,通開三平鍾章,45
玒,kuwng,古紅,通開一平東見,22
玒,kaewng,古雙,江開二平江見,69
㓚,kuwng,古紅,通開一平東見,22
釭,kuwng,古紅,通開一平東見,22
釭,kowng,古冬,通開一平冬見,39
釭,kaewng,古雙,江開二平江見,69
魟,kuwng,古紅,通開一平東見,22
魟,huwng,戸公,通開一平東匣,25
魟,xuwng,呼東,通開一平東曉,32
攻,kuwng,古紅,通開一平東見,22
攻,kowng,古冬,通開一平冬見,39
愩,kuwng,古紅,通開一平東見,22
碽,kuwng,古紅,通開一平東見,22
篢,kuwng,古紅,通開一平東見,22
蒙,muwng,莫紅,通開一平東明,23
冡,muwng,莫紅,通開一平東明,23
濛,muwng,莫紅,通開一平東明,23
濛,muwngX,莫孔,通開一上東明,1158
𩦺,muwng,莫紅,通開一平東明,23
䰒,muwng,莫紅,通開一平東明,23
艨,muwng,莫紅,通開一平東明,23
艨,muwngH,莫弄,通開一去東明,2108
朦,muwng,莫紅,通開一平東明,23
朦,muwngX,莫孔,通開一上東明,1158
矇,muwng,莫紅,通開一平東明,23
饛,muwng,莫紅,通開一平東明,23
檬,muwng,莫紅,通開一平東明,23
𨢊,muwng,莫紅,通開一平東明,23
䴿,muwng,莫紅,通開一平東明,23
𢄐,muwng,莫紅,通開一平東明,23
𢄐,muwngH,莫弄,通開一去東明,2108
𨣘,muwng,莫紅,通開一平東明,23
鸏,muwng,莫紅,通開一平東明,23
鸏,muwngX,莫孔,通開一上東明,1158
幪,muwng,莫紅,通開一平東明,23
罞,muwng,莫紅,通開一平東明,23
罞,maew,莫交,效開二平肴明,692
髳,muwng,莫紅,通開一平東明,23
蠓,muwng,莫紅,通開一平東明,23
蠓,muwngX,莫孔,通開一上東明,1158
𦿏,muwng,莫紅,通開一平東明,23
雺,muwng,莫紅,通開一平東明,23
雺,mjuw,莫浮,流開三平尤明,1016
雺,mowngH,莫綜,通開一去冬明,2122
雺,muwH,莫候,流開一去侯明,3063
霿,muwng,莫紅,通開一平東明,23
霿,muwngH,莫弄,通開一去東明,2108
霧,muwng,莫紅,通開一平東明,23
霧,mjuH,亡遇,遇合三去虞明,2328
䀄,muwng,莫紅,通開一平東明,23
霥,muwng,莫紅,通開一平東明,23
礞,muwng,莫紅,通開一平東明,23
籠,luwng,盧紅,通開一平東來,24
籠,ljowng,力鍾,通開三平鍾來,46
籠,luwngX,力董,通開一上東來,1167
豅,luwng,盧紅,通開一平東來,24
㰍,luwng,盧紅,通開一平東來,24
朧,luwng,盧紅,通開一平東來,24
𡃡,luwng,盧紅,通開一平東來,24
龓,luwng,盧紅,通開一平東來,24
龓,luwngX,力董,通開一上東來,1167
䪊,luwng,盧紅,通開一平東來,24
瀧,luwng,盧紅,通開一平東來,24
瀧,laewng,呂江,江開二平江來,76
瀧,sraewng,所江,江開二平江生,77
聾,luwng,盧紅,通開一平東來,24
𨏠,luwng,盧紅,通開一平東來,24
䆍,luwng,盧紅,通開一平東來,24
礱,luwng,盧紅,通開一平東來,24
礱,luwngH,盧貢,通開一去東來,2095
𪚗,luwng,盧紅,通開一平東來,24
嚨,luwng,盧紅,通開一平東來,24
蘢,luwng,盧紅,通開一平東來,24
蘢,ljowng,力鍾,通開三平鍾來,46
櫳,luwng,盧紅,通開一平東來,24
𤮨,luwng,盧紅,通開一平東來,24
巃,luwng,盧紅,通開一平東來,24
巃,luwngX,力董,通開一上東來,1167
襱,luwng,盧紅,通開一平東來,24
襱,luwngX,力董,通開一上東來,1167
襱,drjowngX,直隴,通開三上鍾澄,1176
𧙥,luwng,盧紅,通開一平東來,24
瓏,luwng,盧紅,通開一平東來,24
曨,luwng,盧紅,通開一平東來,24
曨,luwngX,力董,通開一上東來,1167
蠪,luwng,盧紅,通開一平東來,24
鸗,luwng,盧紅,通開一平東來,24
鸗,ljowng,力鍾,通開三平鍾來,46
𩟭,luwng,盧紅,通開一平東來,24
㟅,luwng,盧紅,通開一平東來,24
㟅,nguwng,五東,通開一平東疑,33
㟅,ngaewng,五江,江開二平江疑,85
屸,luwng,盧紅,通開一平東來,24
紅,huwng,戸公,通開一平東匣,25
洪,huwng,戸公,通開一平東匣,25
鉷,huwng,戸公,通開一平東匣,25
訌,huwng,戸公,通開一平東匣,25
虹,huwng,戸公,通開一平東匣,25
虹,kuwngH,古送,通開一去東見,2094
虹,kaewngH,古巷,江開二去江見,2141
仜,huwng,戸公,通開一平東匣,25
鴻,huwng,戸公,通開一平東匣,25
鴻,huwngX,胡孔,通開一上東匣,1163
葒,huwng,戸公,通開一平東匣,25
葓,huwng,戸公,通開一平東匣,25
谼,huwng,戸公,通開一平東匣,25
䉺,huwng,戸公,通開一平東匣,25
䪦,huwng,戸公,通開一平東匣,25
𦏼,huwng,戸公,通開一平東匣,25
䫹,huwng,戸公,通開一平東匣,25
𨾊,huwng,戸公,通開一平東匣,25
烘,huwng,戸公,通開一平東匣,25
烘,xuwng,呼東,通開一平東曉,32
烘,huwngH,胡貢,通開一去東匣,2113
烘,xuwngH,呼貢,通開一去東曉,2118
洚,huwng,戸公,通開一平東匣,25
洚,howng,戸冬,通開一平冬匣,40
洚,haewng,下江,江開二平江匣,74
洚,kaewngH,古巷,江開二去江見,2141
渱,huwng,戸公,通開一平東匣,25
𨹁,huwng,戸公,通開一平東匣,25
𨹁,kuwngH,古送,通開一去東見,2094
䧆,huwng,戸公,通開一平東匣,25
䂫,huwng,戸公,通開一平東匣,25
叢,dzuwng,徂紅,通開一平東從,26
藂,dzuwng,徂紅,通開一平東從,26
䕺,dzuwng,徂紅,通開一平東從,26
𥵫,dzuwng,徂紅,通開一平東從,26
翁,'uwng,烏紅,通開一平東影,27
螉,'uwng,烏紅,通開一平東影,27
䱵,'uwng,烏紅,通開一平東影,27
蓊,'uwng,烏紅,通開一平東影,27
蓊,'uwngX,烏孔,通開一上東影,1164
䈵,'uwng,烏紅,通開一平東影,27
䈵,'uwngX,烏孔,通開一上東影,1164
䩺,'uwng,烏紅,通開一平東影,27
㮬,'uwng,烏紅,通開一平東影,27
𩔚,'uwng,烏紅,通開一平東影,27
怱,tshuwng,倉紅,通開一平東清,28
匆,tshuwng,倉紅,通開一平東清,28
忩,tshuwng,倉紅,通開一平東清,28
葱,tshuwng,倉紅,通開一平東清,28
蔥,tshuwng,倉紅,通開一平東清,28
聦,tshuwng,倉紅,通開一平東清,28
聰,tshuwng,倉紅,通開一平東清,28
騘,tshuwng,倉紅,通開一平東清,28
驄,tshuwng,倉紅,通開一平東清,28
樬,tshuwng,倉紅,通開一平東清,28
𨍉,tshuwng,倉紅,通開一平東清,28
䡯,tshuwng,倉紅,通開一平東清,28
𦇎,tshuwng,倉紅,通開一平東清,28
𤧚,tshuwng,倉紅,通開一平東清,28
璁,tshuwng,倉紅,通開一平東清,28
𨣭,tshuwng,倉紅,通開一平東清,28
𨣼,tshuwng,倉紅,通開一平東清,28
鍯,tshuwng,倉紅,通開一平東清,28
鏓,tshuwng,倉紅,通開一平東清,28
㷓,tshuwng,倉紅,通開一平東清,28
㷓,tsuwngX,作孔,通開一上東精,1162
熜,tshuwng,倉紅,通開一平東清,28
𢉛,tshuwng,倉紅,通開一平東清,28
𢉛,tsuwngX,作孔,通開一上東精,1162
𢊕,tshuwng,倉紅,通開一平東清,28
䗓,tshuwng,倉紅,通開一平東清,28
蟌,tshuwng,倉紅,通開一平東清,28
通,thuwng,他紅,通開一平東透,29
蓪,thuwng,他紅,通開一平東透,29
恫,thuwng,他紅,通開一平東透,29
恫,duwngH,徒弄,通開一去東定,2101
痌,thuwng,他紅,通開一平東透,29
俑,thuwng,他紅,通開一平東透,29
俑,yowngX,余隴,通開三上鍾以,1180
𧳆,thuwng,他紅,通開一平東透,29
𨀜,thuwng,他紅,通開一平東透,29
葼,tsuwng,子紅,通開一平東精,30
嵕,tsuwng,子紅,通開一平東精,30
艐,tsuwng,子紅,通開一平東精,30
艐,keajH,古拜,蟹開二去皆見,2473
艐,khaH,口箇,果開一去歌溪,2828
鬷,tsuwng,子紅,通開一平東精,30
猣,tsuwng,子紅,通開一平東精,30
猣,tsuwngX,作孔,通開一上東精,1162
鯼,tsuwng,子紅,通開一平東精,30
鯼,tsuwngH,作弄,通開一去東精,2098
椶,tsuwng,子紅,通開一平東精,30
棕,tsuwng,子紅,通開一平東精,30
騣,tsuwng,子紅,通開一平東精,30
鬃,tsuwng,子紅,通開一平東精,30
鬃,dzowng,藏宗,通開一平冬從,37
鬃,dzraewng,士江,江開二平江崇,86
𥓻,tsuwng,子紅,通開一平東精,30
翪,tsuwng,子紅,通開一平東精,30
翪,tsuwngX,作孔,通開一上東精,1162
緵,tsuwng,子紅,通開一平東精,30
緵,tsuwngH,作弄,通開一去東精,2098
㣭,tsuwng,子紅,通開一平東精,30
稯,tsuwng,子紅,通開一平東精,30
堫,tsuwng,子紅,通開一平東精,30
堫,tsrhaewng,楚江,江開二平江初,72
蝬,tsuwng,子紅,通開一平東精,30
鬉,tsuwng,子紅,通開一平東精,30
㚇,tsuwng,子紅,通開一平東精,30
㚇,tsuwngH,作弄,通開一去東精,2098
豵,tsuwng,子紅,通開一平東精,30
豵,tsjowng,即容,通開三平鍾精,61
䗥,tsuwng,子紅,通開一平東精,30
䗥,tshjowng,七恭,通開三平鍾清,67
嵸,tsuwng,子紅,通開一平東精,30
𩮀,tsuwng,子紅,通開一平東精,30
𩮀,tsuwngX,作孔,通開一上東精,1162
蓬,buwng,薄紅,通開一平東並,31
𥭗,buwng,薄紅,通開一平東並,31
篷,buwng,薄紅,通開一平東並,31
髼,buwng,薄紅,通開一平東並,31
蜂,buwng,薄紅,通開一平東並,31
蜂,phjowng,敷容,通開三平鍾滂,60
𧚋,buwng,薄紅,通開一平東並,31
韸,buwng,薄紅,通開一平東並,31
䮾,buwng,薄紅,通開一平東並,31
䮾,laewng,呂江,江開二平江來,76
𩖛,buwng,薄紅,通開一平東並,31
𩖛,bjiw,皮彪,流開三平幽並,1039
叿,xuwng,呼東,通開一平東曉,32
谾,xuwng,呼東,通開一平東曉,32
谾,xaewng,許江,江開二平江曉,79
𩐠,xuwng,呼東,通開一平東曉,32
𩗄,xuwng,呼東,通開一平東曉,32
檧,suwng,蘇公,通開一平東心,34
憽,suwng,蘇公,通開一平東心,34
忪,suwng,蘇公,通開一平東心,34
忪,tsyowng,職容,通開三平鍾章,45
冬,towng,都宗,通開一平冬端,35
𠔙,towng,都宗,通開一平冬端,35
苳,towng,都宗,通開一平冬端,35
䳉,towng,都宗,通開一平冬端,35
笗,towng,都宗,通開一平冬端,35
𩂓,towng,都宗,通開一平冬端,35
𧲴,towng,都宗,通開一平冬端,35
彤,downg,徒冬,通開一平冬定,36
疼,downg,徒冬,通開一平冬定,36
佟,downg,徒冬,通開一平冬定,36
炵,downg,徒冬,通開一平冬定,36
炵,thowng,他冬,通開一平冬透,44
䳋,downg,徒冬,通開一平冬定,36
鼕,downg,徒冬,通開一平冬定,36
𢥞,downg,徒冬,通開一平冬定,36
𢾮,downg,徒冬,通開一平冬定,36
㤏,downg,徒冬,通開一平冬定,36
痋,downg,徒冬,通開一平冬定,36
䂈,downg,徒冬,通開一平冬定,36
鉵,downg,徒冬,通開一平冬定,36
𧹝,downg,徒冬,通開一平冬定,36
浵,downg,徒冬,通開一平冬定,36
𠩁,downg,徒冬,通開一平冬定,36
鉖,downg,徒冬,通開一平冬定,36
𨜳,downg,徒冬,通開一平冬定,36
㠽,downg,徒冬,通開一平冬定,36
赨,downg,徒冬,通開一平冬定,36
賨,dzowng,藏宗,通開一平冬從,37
琮,dzowng,藏宗,通開一平冬從,37
悰,dzowng,藏宗,通開一平冬從,37
淙,dzowng,藏宗,通開一平冬從,37
淙,dzraewng,士江,江開二平江崇,86
淙,sraewngH,色絳,江開二去江生,2149
慒,dzowng,藏宗,通開一平冬從,37
慒,zjuw,似尤,流開三平尤邪,1011
㼻,dzowng,藏宗,通開一平冬從,37
㼻,dzraewng,士江,江開二平江崇,86
孮,dzowng,藏宗,通開一平冬從,37
誴,dzowng,藏宗,通開一平冬從,37
𢃏,dzowng,藏宗,通開一平冬從,37
農,nowng,奴冬,通開一平冬泥,38
農,naw,奴刀,效開一平豪泥,721
䢉,nowng,奴冬,通開一平冬泥,38
辳,nowng,奴冬,通開一平冬泥,38
𨑋,nowng,奴冬,通開一平冬泥,38
𩟊,nowng,奴冬,通開一平冬泥,38
𩟊,nraewng,女江,江開二平江娘,71
𩟊,nraewngX,匿講,江開二上江娘,4001
噥,nowng,奴冬,通開一平冬泥,38
噥,nraewng,女江,江開二平江娘,71
𩅽,nowng,奴冬,通開一平冬泥,38
憹,nowng,奴冬,通開一平冬泥,38
憹,naw,奴刀,效開一平豪泥,721
㺜,nowng,奴冬,通開一平冬泥,38
㺜,nrjowng,女容,通開三平鍾娘,55
㺜,nraew,女交,效開二平肴娘,690
㺜,naw,奴刀,效開一平豪泥,721
儂,nowng,奴冬,通開一平冬泥,38
𧗕,nowng,奴冬,通開一平冬泥,38
膿,nowng,奴冬,通開一平冬泥,38
䃔,howng,戸冬,通開一平冬匣,40
䃔,howngH,乎宋,通開一去冬匣,2123
㗢,howng,戸冬,通開一平冬匣,40
㗢,duwngH,徒弄,通開一去東定,2101
㗢,howngH,乎宋,通開一去冬匣,2123
𩘎,howng,戸冬,通開一平冬匣,40
䃧,lowng,力冬,通開一平冬來,41
䥢,lowng,力冬,通開一平冬來,41
𣫣,lowng,力冬,通開一平冬來,41
宗,tsowng,作冬,通開一平冬精,42
倧,tsowng,作冬,通開一平冬精,42
鬆,sowng,私宗,通開一平冬心,43
鬆,sjowng,息恭,通開三平鍾心,66
鬆,tshjowng,七恭,通開三平鍾清,67
鬆,suwngH,蘇弄,通開一去東心,2092
䯳,sowng,私宗,通開一平冬心,43
鍾,tsyowng,職容,通開三平鍾章,45
鐘,tsyowng,職容,通開三平鍾章,45
䇗,tsyowng,職容,通開三平鍾章,45
蹱,tsyowng,職容,通開三平鍾章,45
蹱,trhjowng,丑凶,通開三平鍾徹,58
蹱,trhjowngH,丑用,通開三去鍾徹,2133
彸,tsyowng,職容,通開三平鍾章,45
衳,tsyowng,職容,通開三平鍾章,45
伀,tsyowng,職容,通開三平鍾章,45
籦,tsyowng,職容,通開三平鍾章,45
妐,tsyowng,職容,通開三平鍾章,45
㕬,tsyowng,職容,通開三平鍾章,45
𧢸,tsyowng,職容,通開三平鍾章,45
𧢸,kaewng,古雙,江開二平江見,69
炂,tsyowng,職容,通開三平鍾章,45
𦬘,tsyowng,職容,通開三平鍾章,45
𨳗,tsyowng,職容,通開三平鍾章,45
鈆,tsyowng,職容,通開三平鍾章,45
鈆,ywen,與專,山合三平仙以,623
龍,ljowng,力鍾,通開三平鍾來,46
𪚝,ljowng,力鍾,通開三平鍾來,46
躘,ljowng,力鍾,通開三平鍾來,46
躘,ljowngH,良用,通開三去鍾來,2137
驡,ljowng,力鍾,通開三平鍾來,46
驡,tsangX,子朗,宕開一上唐精,1836
𪚠,ljowng,力鍾,通開三平鍾來,46
𦪽,ljowng,力鍾,通開三平鍾來,46
舂,syowng,書容,通開三平鍾書,47
摏,syowng,書容,通開三平鍾書,47
蹖,syowng,書容,通開三平鍾書,47
憃,syowng,書容,通開三平鍾書,47
憃,trhaewng,丑江,江開二平江徹,83
憃,trhjowngH,丑用,通開三去鍾徹,2133
𧐍,syowng,書容,通開三平鍾書,47
𪄻,syowng,書容,通開三平鍾書,47
松,zjowng,祥容,通開三平鍾邪,48
㮤,zjowng,祥容,通開三平鍾邪,48
淞,zjowng,祥容,通開三平鍾邪,48
淞,sjowng,息恭,通開三平鍾心,66
訟,zjowng,祥容,通開三平鍾邪,48
訟,zjowngH,似用,通開三去鍾邪,2125
衝,tsyhowng,尺容,通開三平鍾昌,49
𧘂,tsyhowng,尺容,通開三平鍾昌,49
