Character,Transcription,Fanqie,Sixtuple,Reference
栟,pjieng,府盈,梗開三平清幫,923
屏,pjieng,府盈,梗開三平清幫,923
屏,beng,薄經,梗開四平青並,943
屏,pjiengX,必郢,梗開三上清幫,1890
箳,pjieng,府盈,梗開三平清幫,923
箳,beng,薄經,梗開四平青並,943
傾,khjwieng,去營,梗合三平清溪,924
頃,khjwieng,去營,梗合三平清溪,924
頃,khjwiengX,去潁,梗合三上清溪,1891
𩛿,zjeng,徐盈,梗開三平清邪,925
餳,zjeng,徐盈,梗開三平清邪,925
縈,'jwieng,於營,梗合三平清影,926
䪯,'jwieng,於營,梗合三平清影,926
𢄋,'jwieng,於營,梗合三平清影,926
瀠,'jwieng,於營,梗合三平清影,926
瓊,gjwieng,渠營,梗合三平清群,927
璚,gjwieng,渠營,梗合三平清群,927
煢,gjwieng,渠營,梗合三平清群,927
焭,gjwieng,渠營,梗合三平清群,927
睘,gjwieng,渠營,梗合三平清群,927
惸,gjwieng,渠營,梗合三平清群,927
𢶇,gjwieng,渠營,梗合三平清群,927
藑,gjwieng,渠營,梗合三平清群,927
𡞦,gjwieng,渠營,梗合三平清群,927
赹,gjwieng,渠營,梗合三平清群,927
憌,gjwieng,渠營,梗合三平清群,927
𦽓,gjwieng,渠營,梗合三平清群,927
𦾵,gjwieng,渠營,梗合三平清群,927
𨍶,gjwieng,渠營,梗合三平清群,927
㒌,gjwieng,渠營,梗合三平清群,927
騂,sjweng,息營,梗合三平清心,928
𤙡,sjweng,息營,梗合三平清心,928
垶,sjweng,息營,梗合三平清心,928
觪,sjweng,息營,梗合三平清心,928
頸,gjieng,巨成,梗開三平清群,929
頸,keng,古靈,梗開四平青見,932
頸,kjiengX,居郢,梗開三上清見,1889
𩷏,gjieng,巨成,梗開三平清群,929
𦳲,gjieng,巨成,梗開三平清群,929
𧵣,xjweng,火營,梗合三平清曉,930
𧵣,hweng,戸扃,梗合四平青匣,944
青,tsheng,倉經,梗開四平青清,931
靑,tsheng,倉經,梗開四平青清,931
靘,tsheng,倉經,梗開四平青清,931
靘,tshengH,千定,梗開四去青清,2999
經,keng,古靈,梗開四平青見,932
經,kengH,古定,梗開四去青見,2991
涇,keng,古靈,梗開四平青見,932
涇,gjiengX,巨郢,梗開三上清群,1886
巠,keng,古靈,梗開四平青見,932
㓝,heng,戸經,梗開四平青匣,933
刑,heng,戸經,梗開四平青匣,933
形,heng,戸經,梗開四平青匣,933
𤬐,heng,戸經,梗開四平青匣,933
䣆,heng,戸經,梗開四平青匣,933
桯,heng,戸經,梗開四平青匣,933
桯,theng,他丁,梗開四平青透,941
鉶,heng,戸經,梗開四平青匣,933
型,heng,戸經,梗開四平青匣,933
陘,heng,戸經,梗開四平青匣,933
侀,heng,戸經,梗開四平青匣,933
鈃,heng,戸經,梗開四平青匣,933
㼛,heng,戸經,梗開四平青匣,933
𤭓,heng,戸經,梗開四平青匣,933
鋞,heng,戸經,梗開四平青匣,933
鋞,hengX,胡頂,梗開四上青匣,1908
停,deng,特丁,梗開四平青定,934
庭,deng,特丁,梗開四平青定,934
鼮,deng,特丁,梗開四平青定,934
莛,deng,特丁,梗開四平青定,934
莛,dengX,徒鼎,梗開四上青定,1902
葶,deng,特丁,梗開四平青定,934
葶,tengX,都挺,梗開四上青端,1901
筳,deng,特丁,梗開四平青定,934
亭,deng,特丁,梗開四平青定,934
聤,deng,特丁,梗開四平青定,934
霆,deng,特丁,梗開四平青定,934
霆,dengX,徒鼎,梗開四上青定,1902
渟,deng,特丁,梗開四平青定,934
𩹇,deng,特丁,梗開四平青定,934
綎,deng,特丁,梗開四平青定,934
綎,theng,他丁,梗開四平青透,941
娗,deng,特丁,梗開四平青定,934
娗,dengX,徒鼎,梗開四上青定,1902
㼗,deng,特丁,梗開四平青定,934
𧖧,deng,特丁,梗開四平青定,934
挺,deng,特丁,梗開四平青定,934
挺,dengX,徒鼎,梗開四上青定,1902
楟,deng,特丁,梗開四平青定,934
蜓,deng,特丁,梗開四平青定,934
蜓,dengX,徒鼎,梗開四上青定,1902
廷,deng,特丁,梗開四平青定,934
廷,dengH,徒徑,梗開四去青定,2995
㹶,deng,特丁,梗開四平青定,934
𧓴,deng,特丁,梗開四平青定,934
婷,deng,特丁,梗開四平青定,934
釘,teng,當經,梗開四平青端,935
釘,tengH,丁定,梗開四去青端,2996
䦺,teng,當經,梗開四平青端,935
仃,teng,當經,梗開四平青端,935
疔,teng,當經,梗開四平青端,935
馨,xeng,呼刑,梗開四平青曉,936
蛵,xeng,呼刑,梗開四平青曉,936
𠷓,xeng,呼刑,梗開四平青曉,936
星,seng,桑經,梗開四平青心,937
曐,seng,桑經,梗開四平青心,937
腥,seng,桑經,梗開四平青心,937
腥,sengH,蘇佞,梗開四去青心,2993
胜,seng,桑經,梗開四平青心,937
鮏,seng,桑經,梗開四平青心,937
鯹,seng,桑經,梗開四平青心,937
𥠀,seng,桑經,梗開四平青心,937
醒,seng,桑經,梗開四平青心,937
醒,sengX,蘇挺,梗開四上青心,1909
醒,sengH,蘇佞,梗開四去青心,2993
篂,seng,桑經,梗開四平青心,937
惺,seng,桑經,梗開四平青心,937
惺,sjengX,息井,梗開三上清心,1895
竮,pheng,普丁,梗開四平青滂,938
竮,beng,薄經,梗開四平青並,943
俜,pheng,普丁,梗開四平青滂,938
俜,phjiengH,匹正,梗開三去清滂,2981
甹,pheng,普丁,梗開四平青滂,938
甹,yuw,以周,流開三平尤以,990
𢖊,pheng,普丁,梗開四平青滂,938
艵,pheng,普丁,梗開四平青滂,938
頩,pheng,普丁,梗開四平青滂,938
頩,phengX,匹迥,梗開四上青滂,1913
覮,pheng,普丁,梗開四平青滂,938
靈,leng,郎丁,梗開四平青來,939
霛,leng,郎丁,梗開四平青來,939
𩄀,leng,郎丁,梗開四平青來,939
𩆜,leng,郎丁,梗開四平青來,939
舲,leng,郎丁,梗開四平青來,939
齡,leng,郎丁,梗開四平青來,939
麢,leng,郎丁,梗開四平青來,939
𦏰,leng,郎丁,梗開四平青來,939
囹,leng,郎丁,梗開四平青來,939
鴒,leng,郎丁,梗開四平青來,939
䉁,leng,郎丁,梗開四平青來,939
蛉,leng,郎丁,梗開四平青來,939
鈴,leng,郎丁,梗開四平青來,939
霝,leng,郎丁,梗開四平青來,939
醽,leng,郎丁,梗開四平青來,939
苓,leng,郎丁,梗開四平青來,939
櫺,leng,郎丁,梗開四平青來,939
柃,leng,郎丁,梗開四平青來,939
柃,ljengX,良郢,梗開三上清來,1888
𩆚,leng,郎丁,梗開四平青來,939
伶,leng,郎丁,梗開四平青來,939
泠,leng,郎丁,梗開四平青來,939
